date,precipitacao_mm,temp_media_c,umidade_pct
2021-01-01,2.0,26.7,76
2021-01-02,1.5,26.6,76
2021-01-03,0.8,26.8,75
2021-01-04,1.8,26.1,79
2021-01-05,0.0,26.5,72
2021-01-06,0.9,26.9,71
2021-01-07,0.6,27.2,70
2021-01-08,0.1,27.3,71
2021-01-09,0.9,27.2,71
2021-01-10,1.5,27.1,72
2021-01-11,1.8,27.3,71
2021-01-12,2.6,27.0,73
2021-01-13,1.9,26.8,74
2021-01-14,1.0,27.0,72
2021-01-15,2.0,27.1,71
2021-01-16,0.2,27.1,67
2021-01-17,1.9,26.8,71
2021-01-18,4.1,25.7,82
2021-01-19,3.2,26.3,78
2021-01-20,3.3,26.4,80
2021-01-21,2.9,26.5,76
2021-01-22,2.8,26.6,74
2021-01-23,2.5,26.5,75
2021-01-24,2.1,26.4,78
2021-01-25,0.9,26.7,73
2021-01-26,3.5,25.9,81
2021-01-27,5.0,25.6,83
2021-01-28,2.1,26.4,77
2021-01-29,3.1,26.6,78
2021-01-30,1.7,27.1,74
2021-01-31,0.9,26.9,75
2021-02-01,1.4,26.9,75
2021-02-02,1.0,26.9,76
2021-02-03,1.5,26.9,75
2021-02-04,1.0,26.8,77
2021-02-05,0.2,27.3,75
2021-02-06,0.0,27.5,75
2021-02-07,0.0,27.5,74
2021-02-08,0.0,27.4,73
2021-02-09,0.0,27.5,72
2021-02-10,2.8,27.2,77
2021-02-11,2.1,27.5,72
2021-02-12,1.3,27.5,72
2021-02-13,5.3,26.4,82
2021-02-14,3.2,26.4,82
2021-02-15,3.3,26.6,83
2021-02-16,2.6,27.4,78
2021-02-17,1.5,27.2,75
2021-02-18,0.2,27.4,71
2021-02-19,0.1,27.1,75
2021-02-20,0.8,27.5,72
2021-02-21,0.9,27.6,73
2021-02-22,0.0,27.7,67
2021-02-23,1.9,27.3,73
2021-02-24,2.0,27.6,75
2021-02-25,4.6,26.9,80
2021-02-26,12.2,25.6,86
2021-02-27,4.1,25.5,85
2021-02-28,7.9,25.7,85
2021-03-01,10.6,24.9,90
2021-03-02,3.1,26.7,76
2021-03-03,1.1,26.8,77
2021-03-04,4.7,26.5,81
2021-03-05,3.6,26.4,82
2021-03-06,0.8,27.0,78
2021-03-07,0.0,27.1,77
2021-03-08,2.9,27.1,80
2021-03-09,1.8,26.8,80
2021-03-10,0.5,27.1,77
2021-03-11,1.7,27.3,77
2021-03-12,1.5,27.1,75
2021-03-13,2.5,26.9,75
2021-03-14,0.4,27.3,69
2021-03-15,2.3,26.4,78
2021-03-16,1.4,26.4,76
2021-03-17,0.0,27.1,69
2021-03-18,2.6,26.2,81
2021-03-19,1.6,27.4,75
2021-03-20,3.2,26.7,76
2021-03-21,5.6,25.8,83
2021-03-22,2.0,26.3,81
2021-03-23,3.1,26.2,82
2021-03-24,7.5,25.3,88
2021-03-25,3.1,27.0,74
2021-03-26,8.0,25.9,84
2021-03-27,9.7,25.7,88
2021-03-28,5.1,25.9,88
2021-03-29,2.2,26.2,88
2021-03-30,2.0,26.7,84
2021-03-31,0.8,27.3,79
2021-04-01,2.4,27.1,80
2021-04-02,0.0,27.1,73
2021-04-03,3.5,26.2,84
2021-04-04,6.5,26.0,89
2021-04-05,1.8,27.0,77
2021-04-06,0.6,26.7,77
2021-04-07,0.9,27.0,75
2021-04-08,2.1,27.2,75
2021-04-09,4.1,26.8,78
2021-04-10,8.1,25.4,91
2021-04-11,9.1,25.4,90
2021-04-12,2.6,25.7,88
2021-04-13,5.9,26.3,86
2021-04-14,7.3,26.0,88
2021-04-15,9.7,25.3,89
2021-04-16,1.6,26.0,86
2021-04-17,9.0,25.7,87
2021-04-18,12.8,25.0,90
2021-04-19,2.0,26.1,85
2021-04-20,1.7,26.1,87
2021-04-21,1.3,26.8,80
2021-04-22,1.4,26.8,85
2021-04-23,1.1,26.9,82
2021-04-24,1.9,26.7,80
2021-04-25,1.5,26.0,85
2021-04-26,2.9,26.4,84
2021-04-27,2.3,26.4,82
2021-04-28,3.7,26.0,89
2021-04-29,4.9,26.5,84
2021-04-30,7.4,25.8,84
2021-05-01,4.8,25.6,86
2021-05-02,4.7,25.1,87
2021-05-03,6.2,25.1,87
2021-05-04,9.9,25.1,90
2021-05-05,6.8,25.1,88
2021-05-06,2.8,25.5,85
2021-05-07,1.9,25.6,86
2021-05-08,3.5,25.5,86
2021-05-09,8.1,24.9,89
2021-05-10,7.9,25.2,86
2021-05-11,7.2,24.9,88
2021-05-12,9.4,25.3,88
2021-05-13,23.5,25.1,91
2021-05-14,17.0,25.1,90
2021-05-15,2.5,26.1,80
2021-05-16,0.6,25.8,80
2021-05-17,0.8,25.4,80
2021-05-18,0.9,25.2,83
2021-05-19,3.8,25.6,84
2021-05-20,0.6,25.5,84
2021-05-21,3.5,25.9,82
2021-05-22,0.7,26.2,75
2021-05-23,0.4,25.7,78
2021-05-24,2.8,25.9,81
2021-05-25,1.4,25.8,78
2021-05-26,2.6,26.2,75
2021-05-27,9.6,25.1,86
2021-05-28,7.1,25.5,83
2021-05-29,1.1,25.9,75
2021-05-30,5.3,24.4,92
2021-05-31,6.8,25.3,88
2021-06-01,2.4,25.7,77
2021-06-02,0.0,25.6,76
2021-06-03,2.1,25.2,82
2021-06-04,3.7,25.4,83
2021-06-05,4.8,25.0,86
2021-06-06,4.6,25.4,82
2021-06-07,4.0,25.0,85
2021-06-08,6.1,24.3,90
2021-06-09,14.2,24.5,88
2021-06-10,4.4,25.1,82
2021-06-11,0.0,24.4,84
2021-06-12,0.0,24.6,82
2021-06-13,0.0,24.6,82
2021-06-14,1.8,24.4,86
2021-06-15,3.0,24.5,88
2021-06-16,2.7,24.6,86
2021-06-17,2.8,24.6,88
2021-06-18,10.8,23.6,88
2021-06-19,4.3,23.8,85
2021-06-20,1.6,24.1,86
2021-06-21,1.9,25.1,82
2021-06-22,1.8,25.3,80
2021-06-23,4.0,24.2,88
2021-06-24,19.6,24.0,88
2021-06-25,2.8,24.2,81
2021-06-26,0.2,24.2,74
2021-06-27,3.8,23.3,87
2021-06-28,2.2,23.6,82
2021-06-29,2.7,23.6,84
2021-06-30,16.3,23.6,92
2021-07-01,4.1,25.1,84
2021-07-02,4.8,24.4,87
2021-07-03,6.0,24.4,84
2021-07-04,2.9,24.8,79
2021-07-05,2.0,24.6,82
2021-07-06,1.1,24.2,83
2021-07-07,0.2,24.4,81
2021-07-08,3.0,24.3,82
2021-07-09,2.4,25.1,80
2021-07-10,4.6,24.2,89
2021-07-11,3.8,25.0,80
2021-07-12,2.3,25.0,80
2021-07-13,0.6,25.2,75
2021-07-14,5.0,24.7,83
2021-07-15,6.7,24.8,85
2021-07-16,6.6,23.8,92
2021-07-17,6.8,23.5,93
2021-07-18,0.9,24.5,86
2021-07-19,3.0,24.2,88
2021-07-20,0.8,25.3,77
2021-07-21,9.7,24.4,83
2021-07-22,2.6,24.9,75
2021-07-23,5.1,24.2,81
2021-07-24,1.7,24.6,75
2021-07-25,5.5,23.5,89
2021-07-26,5.1,24.7,81
2021-07-27,3.1,24.6,83
2021-07-28,1.0,24.8,84
2021-07-29,0.7,24.6,85
2021-07-30,2.8,24.3,85
2021-07-31,5.9,24.3,83
2021-08-01,5.7,23.5,86
2021-08-02,10.3,23.2,88
2021-08-03,7.8,23.1,90
2021-08-04,6.9,22.8,91
2021-08-05,11.7,23.4,88
2021-08-06,1.6,24.7,75
2021-08-07,5.4,24.2,78
2021-08-08,4.3,24.2,77
2021-08-09,12.2,23.7,92
2021-08-10,12.4,23.7,90
2021-08-11,6.9,23.7,91
2021-08-12,2.6,24.3,82
2021-08-13,3.3,23.7,81
2021-08-14,1.8,23.4,83
2021-08-15,4.9,23.9,81
2021-08-16,2.3,22.9,84
2021-08-17,3.1,23.8,82
2021-08-18,1.1,24.5,74
2021-08-19,3.7,23.9,85
